Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры всего,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
BREADFRUIT,"BREADFRUIT,RAW",Овощи и фрукты.,70.65,1.07,27.12,0.23,103,17,0.084,0.54,25,30,490,2,0.12,0.06,0,0,0.0,0.1,29.0,0.1,0.5,0.6,0.11,0,4.900000095,11.0,0.034,0.066,0.048,0,0.93,0,0,10,22,0,0.9,0.457,0,0.03
TURKEY,"TURKEY,ALL CLASSES,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,70.61,20.37,0.08,7.77,157,15,0.114,1.69,22,180,269,67,2.31,0.026,341,102,1.62,0.41,0.2,0.0,0.0,23.3,0.065,78,0.0,0.0,2.76,1.93,2.2,0,0.9,0,0,0,0,0,4.148,0.953,102,0.203
TURKEY,"TURKEY,ALL CLASSES,MEAT&SKN,RAW",Мясо,70.4,20.42,0.0,8.02,160,15,0.103,1.43,22,178,266,65,2.2,0.02,6,2,0.4,0.41,0.0,0.35,3.1,24.4,0.064,68,0.0,0.0,2.9,1.98,2.26,0,0.88,0,0,68,0,0,4.085,0.807,2,0.155
TURKEY,"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Мясо,74.16,21.77,0.0,2.86,119,14,0.109,1.45,25,195,296,70,2.37,0.021,0,0,0.43,0.47,0.0,0.35,2.7,26.5,0.072,65,0.0,0.0,0.61,0.83,0.95,0,0.97,0,0,70,0,0,4.544,0.907,0,0.168
TURKEY,"TURKEY,ALL CLASSES,SKN ONLY,RAW",Мясо,49.55,12.71,0.0,36.91,387,18,0.076,1.35,8,82,102,36,1.27,0.012,38,11,0.24,0.07,0.0,0.0,0.0,12.4,0.019,91,0.0,0.0,15.73,8.45,9.63,0,0.4,0,0,0,0,0,1.484,0.253,11,0.081
TURKEY,"TURKEY,ALL CLASSES,GIBLETS,RAW",Мясо,73.18,19.36,2.09,4.2,129,8,0.313,6.84,19,220,316,87,2.39,0.157,7665,2302,28.39,0.43,3.8,0.0,0.0,142.0,0.076,282,0.0,0.0,0.91,1.03,1.26,0,1.16,0,0,0,0,0,6.327,3.952,2302,1.145
TURKEY,"TURKEY,ALL CLASSES,GIBLETS,CKD,SIMMRD,SOME GIBLET FAT",Мясо,65.26,20.89,0.8,11.86,199,6,0.269,7.71,18,231,270,64,3.12,0.159,35790,10737,33.25,0.581,13.7,0.08,0.6,57.9,0.027,289,0.0,0.0,4.954,1.293,3.923,0,1.18,0,0,157,0,3,6.998,2.447,10737,1.503
TURKEY,"TURKEY,GIZZARD,ALL CLASSES,RAW",Мясо,76.18,19.14,0.0,4.58,118,6,0.114,4.31,16,140,322,72,2.86,0.048,0,0,6.86,0.12,6.2,0.05,0.0,29.2,0.04,197,0.0,0.0,1.588,0.777,1.312,0,1.0,0,0,90,0,0,4.78,0.914,0,0.179
TURKEY,"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",Мясо,72.97,21.72,0.38,3.87,129,7,0.126,4.95,17,154,332,67,3.37,0.054,0,0,8.08,0.106,6.3,0.05,0.0,33.4,0.013,203,0.0,0.0,1.21,0.503,1.163,0,1.06,0,0,82,0,0,4.27,0.525,0,0.207
TURKEY,"TURKEY,HEART,ALL CLASSES,RAW",Мясо,76.62,17.13,0.41,4.79,113,6,0.394,4.18,22,222,295,94,3.37,0.058,107,23,15.4,0.441,3.0,0.04,0.0,35.9,0.212,147,0.0,0.0,1.391,1.272,1.316,0,1.05,23,0,127,0,21,4.75,3.12,21,0.97
TURKEY,"TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",Мясо,71.98,21.47,0.68,4.64,136,7,0.492,5.2,26,259,291,90,4.45,0.065,64,19,21.7,0.423,2.8,0.05,0.0,45.5,0.034,184,0.0,0.0,1.138,1.191,1.289,0,1.23,0,0,172,0,32,3.38,1.58,19,1.04
TURKEY,"TURKEY,LIVER,ALL CLASSES,RAW",Мясо,62.29,17.84,2.26,16.36,228,5,0.407,12.0,15,279,255,71,2.26,0.195,72382,21702,49.4,1.47,24.5,0.12,0.8,70.8,0.153,331,0.0,0.0,7.397,1.65,5.507,0,1.25,29,0,222,0,0,13.5,6.28,21700,2.59
TURKEY,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",Мясо,56.95,20.02,1.21,20.54,273,5,0.349,10.7,17,294,211,56,2.62,0.273,75333,22600,58.2,1.04,22.6,0.11,1.2,82.5,0.038,388,0.0,0.0,9.108,2.022,6.947,0,1.29,0,0,220,0,0,10.2,4.35,22600,2.76
TURKEY,"TURKEY,ALL CLASSES,NECK,MEAT ONLY,RAW",Мясо,72.88,20.14,0.0,5.42,135,34,0.143,2.0,19,186,302,93,5.08,0.026,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.089,79,0.0,0.0,1.23,1.63,1.82,0,1.05,0,0,0,0,0,3.169,1.055,0,0.234
TURKEY,"TURKEY,ALL CLASSES,NECK,MEAT ONLY,CKD,SIMMRD",Мясо,65.19,26.84,0.0,7.26,180,37,0.154,2.3,15,122,149,56,7.12,0.022,0,0,0.23,0.21,0.0,0.64,3.7,36.2,0.036,122,0.0,0.0,1.65,2.18,2.44,0,0.61,0,0,75,0,0,1.704,0.701,0,0.192
TURKEY,"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKN,RAW",Мясо,69.83,21.64,0.0,7.36,159,13,0.075,1.21,24,184,271,59,1.57,0.018,6,2,0.42,0.48,0.0,0.0,0.0,22.4,0.056,65,0.0,0.0,2.81,1.73,2.0,0,0.9,0,0,0,0,0,5.137,0.615,2,0.115
TURKEY,"TURKEY,ALL CLASSES,DK MEAT,MEAT&SKN,RAW",Мясо,71.13,18.92,0.0,8.8,160,17,0.137,1.69,20,170,261,71,2.95,0.021,5,2,0.38,0.32,0.0,0.0,0.0,26.4,0.073,72,0.0,0.0,3.0,2.28,2.58,0,0.86,0,0,0,0,0,2.855,1.033,2,0.202
TURKEY,"TURKEY,ALL CLASSES,LT MEAT,RAW",Мясо,73.82,23.56,0.0,1.56,115,12,0.075,1.19,27,204,305,63,1.62,0.019,0,0,0.45,0.56,0.0,0.0,0.0,24.4,0.064,60,0.0,0.0,0.27,0.42,0.5,0,1.0,0,0,0,0,0,5.844,0.688,0,0.122
TURKEY,"TURKEY,ALL CLASSES,DK MEAT,RAW",Мясо,74.48,20.07,0.0,4.38,125,17,0.147,1.75,22,184,286,77,3.22,0.022,0,0,0.4,0.36,0.0,0.0,0.0,28.6,0.081,69,0.0,0.0,0.99,1.31,1.47,0,0.93,0,0,0,0,0,3.075,1.155,0,0.221
TURKEY,"TURKEY,ALL CLASSES,BACK,MEAT&SKN,RAW",Мясо,67.78,18.11,0.0,13.11,196,17,0.127,1.63,18,157,236,66,2.67,0.02,10,3,0.36,0.29,0.0,0.0,0.0,26.4,0.065,74,0.0,0.0,4.94,3.23,3.66,0,0.79,0,0,0,0,0,2.682,0.917,3,0.183
TURKEY,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",Мясо,70.05,21.89,0.0,7.02,157,13,0.074,1.2,24,186,275,59,1.57,0.018,6,2,0.42,0.48,0.0,0.0,0.0,22.4,0.058,65,0.0,0.0,2.66,1.66,1.91,0,0.91,0,0,0,0,0,5.2,0.621,2,0.115
TURKEY,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,RAW",Мясо,72.69,19.54,0.0,6.72,144,17,0.142,1.72,21,177,273,74,3.09,0.022,3,1,0.39,0.34,0.0,0.0,0.0,26.4,0.077,71,0.0,0.0,2.06,1.83,2.06,0,0.89,0,0,0,0,0,2.947,1.09,1,0.211
TURKEY,"TURKEY,ALL CLASSES,WING,MEAT&SKN,RAW",Мясо,66.49,20.22,0.0,12.32,197,14,0.077,1.26,21,165,240,55,1.54,0.017,11,3,0.39,0.41,0.0,0.0,0.0,22.4,0.05,70,0.0,0.0,4.97,2.86,3.28,0,0.81,0,0,0,0,0,4.425,0.554,3,0.11
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT&SKN&GIBLETS&NECK,RAW",Мясо,72.9,22.15,0.05,4.25,133,13,0.152,1.75,22,175,246,61,2.09,0.03,395,119,1.85,0.42,0.2,0.0,0.0,24.6,0.043,92,0.0,0.0,1.47,1.07,1.22,0,0.92,0,0,0,0,0,4.085,1.03,119,0.215
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT&SKN,RAW",Мясо,72.74,22.37,0.0,4.25,134,13,0.139,1.42,22,173,243,58,1.97,0.021,4,1,0.42,0.43,0.0,0.0,0.0,24.8,0.041,81,0.0,0.0,1.52,1.06,1.21,0,0.9,0,0,0,0,0,4.039,0.865,1,0.151
TURKEY,"TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW",Мясо,75.42,22.32,0.0,1.58,110,12,0.14,1.44,24,184,260,61,2.03,0.022,0,0,0.44,0.47,0.0,0.0,0.0,26.5,0.044,73,0.0,0.0,0.35,0.47,0.53,0,0.93,0,0,0,0,0,4.357,0.939,0,0.159
TURKEY,"TURKEY,FRYER-ROASTERS,SKN ONLY,RAW",Мясо,59.86,16.6,0.0,23.54,283,19,0.134,1.29,10,97,121,35,1.6,0.015,33,10,0.31,0.09,0.0,0.0,0.0,15.2,0.021,139,0.0,0.0,10.03,5.39,6.14,0,0.48,0,0,0,0,0,1.765,0.329,10,0.093
TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKN,RAW",Мясо,72.49,23.09,0.0,3.81,133,12,0.12,1.23,24,182,253,50,1.42,0.019,5,2,0.44,0.5,0.0,0.0,0.0,23.0,0.036,76,0.0,0.0,1.52,0.89,1.02,0,0.9,0,0,0,0,0,5.178,0.651,2,0.115
TURKEY,"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKN,RAW",Мясо,74.56,20.06,0.0,4.79,129,14,0.16,1.62,20,163,232,66,2.55,0.023,3,1,0.4,0.34,0.0,0.0,0.0,27.3,0.046,87,0.0,0.0,1.55,1.27,1.43,0,0.84,0,0,0,0,0,2.838,1.09,1,0.189
TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,RAW",Мясо,74.61,24.18,0.0,0.49,108,10,0.118,1.22,26,196,276,52,1.39,0.02,0,0,0.46,0.57,0.0,0.0,0.0,24.4,0.039,66,0.0,0.0,0.09,0.13,0.16,0,0.98,0,0,0,0,0,5.751,0.705,0,0.119
TURKEY,"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,RAW",Мясо,76.22,20.46,0.0,2.67,111,13,0.162,1.66,22,171,244,69,2.66,0.024,0,0,0.41,0.37,0.0,0.0,0.0,28.6,0.049,81,0.0,0.0,0.61,0.8,0.9,0,0.88,0,0,0,0,0,2.957,1.173,0,0.2
TURKEY,"TURKEY,FRYER-ROASTERS,BACK,MEAT&SKN,RAW",Мясо,72.47,19.89,0.0,7.27,151,19,0.137,1.4,19,155,204,60,1.92,0.018,6,2,0.39,0.32,0.0,0.0,0.0,26.4,0.042,86,0.0,0.0,2.5,1.88,2.12,0,0.76,0,0,0,0,0,3.257,1.032,2,0.161
