Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
Индейка,"Мясо",Мясо,"74,16","21,77",0,"2,86",119,14,"0,109","1,45",25,195,296,70,"2,37","0,021",0,0,"0,43","0,47",0,"0,35","2,7","26,5","0,072",65,0,0,"0,61","0,83","0,95",0,"0,97",0,0,70,0,0,"4,544","0,907",0,"0,168"
Индейка,"Кожа",Мясо,"49,55","12,71",0,"36,91",387,18,"0,076","1,35",8,82,102,36,"1,27","0,012",38,11,"0,24","0,07",0,0,0,"12,4","0,019",91,0,0,"15,73","8,45","9,63",0,"0,4",0,0,0,0,0,"1,484","0,253",11,"0,081"
Индейка,"Потроха",Мясо,"73,18","19,36","2,09","4,2",129,8,"0,313","6,84",19,220,316,87,"2,39","0,157",7665,2302,"28,39","0,43","3,8",0,0,142,"0,076",282,0,0,"0,91","1,03","1,26",0,"1,16",0,0,0,0,0,"6,327","3,952",2302,"1,145"
Индейка,"Желудок",Мясо,"76,18","19,14",0,"4,58",118,6,"0,114","4,31",16,140,322,72,"2,86","0,048",0,0,"6,86","0,12","6,2","0,05",0,"29,2","0,04",197,0,0,"1,588","0,777","1,312",0,1,0,0,90,0,0,"4,78","0,914",0,"0,179"
Индейка,"Сердце",Мясо,"76,62","17,13","0,41","4,79",113,6,"0,394","4,18",22,222,295,94,"3,37","0,058",107,23,"15,4","0,441",3,"0,04",0,"35,9","0,212",147,0,0,"1,391","1,272","1,316",0,"1,05",23,0,127,0,21,"4,75","3,12",21,"0,97"
Индейка,"Печень",Мясо,"62,29","17,84","2,26","16,36",228,5,"0,407",12,15,279,255,71,"2,26","0,195",72382,21702,"49,4","1,47","24,5","0,12","0,8","70,8","0,153",331,0,0,"7,397","1,65","5,507",0,"1,25",29,0,222,0,0,"13,5","6,28",21700,"2,59"
Индейка,"Шея, Мясо",Мясо,"72,88","20,14",0,"5,42",135,34,"0,143",2,19,186,302,93,"5,08","0,026",0,0,"0,41","0,37",0,0,0,"28,6","0,089",79,0,0,"1,23","1,63","1,82",0,"1,05",0,0,0,0,0,"3,169","1,055",0,"0,234"
Индейка,"Спинка, Мясо&Кожа",Мясо,"67,78","18,11",0,"13,11",196,17,"0,127","1,63",18,157,236,66,"2,67","0,02",10,3,"0,36","0,29",0,0,0,"26,4","0,065",74,0,0,"4,94","3,23","3,66",0,"0,79",0,0,0,0,0,"2,682","0,917",3,"0,183"
Индейка,"Грудка, Мясо&Кожа",Мясо,"70,05","21,89",0,"7,02",157,13,"0,074","1,2",24,186,275,59,"1,57","0,018",6,2,"0,42","0,48",0,0,0,"22,4","0,058",65,0,0,"2,66","1,66","1,91",0,"0,91",0,0,0,0,0,"5,2","0,621",2,"0,115"
Индейка,"Нога, Мясо&Кожа",Мясо,"72,69","19,54",0,"6,72",144,17,"0,142","1,72",21,177,273,74,"3,09","0,022",3,1,"0,39","0,34",0,0,0,"26,4","0,077",71,0,0,"2,06","1,83","2,06",0,"0,89",0,0,0,0,0,"2,947","1,09",1,"0,211"
Индейка,"Крыло, Мясо&Кожа",Мясо,"66,49","20,22",0,"12,32",197,14,"0,077","1,26",21,165,240,55,"1,54","0,017",11,3,"0,39","0,41",0,0,0,"22,4","0,05",70,0,0,"4,97","2,86","3,28",0,"0,81",0,0,0,0,0,"4,425","0,554",3,"0,11"
Шпинат,Шпинат,Зелень,"91,4","2,86","3,63","0,39",23,99,"0,13","2,71",79,49,558,79,"0,53","0,897",9377,469,0,"0,195","28,1","2,03","482,9",1,"0,078",0,"2,200000048","0,419999987","0,01","0,165","0,063",0,"1,72",5626,0,18,12198,0,"0,724","0,065",0,"0,189"
